whatt3$.id,rescaled,year,v2elembaut,v2psbars,v2psparban,v2psoppaut,v2clacjstm,v2clacjstw,v2cldiscm,v2cseeorgs,v2mecenefm,v2mecrit,v2meharjrn,v2mebias,v2caassemb,v2casurv,.imp,.id,country_id,rights,parties,mediacso,rights_scaled,parties_scaled,mediacso_scaled
184,4.5,1972,-0.9740951438268499,-0.6954388489467805,-0.5764407026997387,-0.7287693910259759,-0.37695299646477454,-1.2676168062554143,-0.2895346855020105,-0.5766469260776418,-0.43307232717748084,-1.189989931824875,-0.23421336447254243,-0.8785932904881707,-0.43793995333017327,-0.3158291625887212,2,184,36,-2.6878736041410938,-2.9747440864993453,-3.312515840040711,5.20378367474626,4.337141812239139,4.424906742878273
185,6.5,1973,-0.9740951438268499,-0.793902074277934,-0.9553218535856757,-1.030157099146357,-0.6891309268537248,-1.2676168062554143,-0.3424338229308582,-0.5766469260776418,-0.8097226697642482,-1.189989931824875,-0.43570454813096426,-0.8785932904881707,-0.6395676358712388,-1.0979622522981836,2,185,36,-4.03671144420942,-3.7534761708368167,-3.8906573662858994,4.661700858928865,3.8088886096010324,4.152760175426425
186,6.5,1974,-1.590099079357252,-0.6965771521297996,-0.9450084698223048,-1.030157099146357,-0.6891309268537248,-1.3507049811189915,-0.5973114850880338,-0.6817995321171546,-1.320595347935311,-1.52490093812906,-1.2598725361169698,-0.8785932904881707,-0.6234058861465396,-0.7778285222282734,2,186,36,-4.038381801435563,-4.261841800455714,-5.6657616447866666,4.661029561074023,3.464038593326446,3.31717145824752
187,6.5,1975,-1.590099079357252,-0.6965771521297996,-0.9450084698223048,-1.030157099146357,-0.6891309268537248,-1.3507049811189915,-0.5973114850880338,-0.6817995321171546,-1.1378874109505213,-1.52490093812906,-1.2598725361169698,-0.8785932904881707,-0.38472443594396827,-0.7936375953181455,2,187,36,-3.815509424322864,-4.261841800455714,-5.483053707801876,4.750599472418628,3.464038593326446,3.403176935521491
188,6.5,1976,-1.590099079357252,-0.6965771521297996,-0.9450084698223048,-1.030157099146357,-0.6891309268537248,-1.3507049811189915,-0.5973114850880338,-0.6817995321171546,-1.1378874109505213,-1.52490093812906,-1.2598725361169698,-0.8785932904881707,-0.7002727445932801,-0.4106836011279538,2,188,36,-3.7481037387819844,-4.261841800455714,-5.483053707801876,4.777689062237853,3.464038593326446,3.403176935521491
189,6,1977,-1.590099079357252,-0.7762583749411378,-0.9450084698223048,-1.3662177294398787,-0.6891309268537248,-1.3507049811189915,-0.5973114850880338,-0.6817995321171546,-1.1378874109505213,-1.52490093812906,-1.2598725361169698,-0.802861700439092,-0.5674310456366054,-0.6563482763797823,2,189,36,-3.860926715077138,-4.677583653560574,-5.407322117752798,4.732346772110615,3.1820199507271894,3.438825805813479
190,7,1978,-1.590099079357252,-0.8678917811741766,-1.4514498935709856,-1.3662177294398787,-0.9239430223201961,-0.9662461381061679,-1.2783878794844485,-0.9366399655776211,-1.5736665357330135,-1.52490093812906,-1.7218585522309837,-0.802861700439092,-0.5672339511277676,-0.7907253976436954,2,190,36,-4.526536388682276,-5.275658483542292,-6.5599276921097704,4.464845701644729,2.7763156646069196,2.8962637575130694
191,7,1979,-1.590099079357252,-1.0175786497411903,-1.4785903771588034,-1.3662177294398787,-1.306021663209281,-0.8803414149421304,-1.6631088789669777,-1.9170333807107263,-1.5736665357330135,-1.52490093812906,-1.7218585522309837,-0.802861700439092,-1.1565465325527784,-1.3274018262209328,2,191,36,-6.3334203158921,-5.452485835697124,-7.540321107242875,3.7386792952607877,2.6563647636892096,2.4347665452064167
192,7,1980,-1.590099079357252,-1.0175786497411903,-1.4785903771588034,-1.3662177294398787,-1.306021663209281,-0.7226147101163565,-1.6631088789669777,-1.9170333807107263,-1.5736665357330135,-1.3637588381478722,-1.7218585522309837,-0.802861700439092,-0.9963086968676501,-1.1424772738933497,2,192,36,-5.830531223053614,-5.452485835697124,-7.379179007261687,3.9407847874049966,2.6563647636892096,2.510620410377942
193,7,1981,-1.590099079357252,-1.0175786497411903,-1.4785903771588034,-1.3662177294398787,-1.306021663209281,-0.7226147101163565,-1.4713495057874046,-1.9170333807107263,-1.5736665357330135,-1.3637588381478722,-1.7218585522309837,-0.802861700439092,-1.082438997229767,-1.0445026235600636,2,193,36,-5.626927499902872,-5.452485835697124,-7.379179007261687,4.022610842604389,2.6563647636892096,2.510620410377942
